City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,mudgeeraba,-28.0833,153.3667,26.66,68,75,3.6,AU,1699921973
295,olinda,-8.0089,-34.8553,26.85,83,40,3.6,BR,1699921834
296,port said,31.2565,32.2841,23.99,73,40,2.57,EG,1699921973
297,vorgashor,67.5833,63.95,-14.16,90,100,3.41,RU,1699921974
298,tobelo,1.7284,128.0095,28.9,72,99,0.41,ID,1699921974
299,ghat,24.9647,10.1728,18.21,40,0,2.19,LY,1699921975
300,arti,56.4234,58.5328,2.79,97,100,5.88,RU,1699921975
301,tonneins,44.3921,0.3124,16.9,93,98,1.53,FR,1699921976
302,prata,-19.3072,-48.9242,28.74,30,92,0.1,BR,1699921976
303,slatina,44.4333,24.3667,5.81,78,49,0.82,RO,1699921977
304,guixi,28.2886,117.2133,10.83,66,15,1.25,CN,1699921977
305,saipan,15.1355,145.701,31.39,70,20,7.72,MP,1699921785
306,male,4.1748,73.5089,26.97,89,75,1.54,MV,1699921978
307,nadym,65.5333,72.5167,-15.85,96,100,3.93,RU,1699921980
308,vung tau,10.346,107.0843,27.12,77,85,1.74,VN,1699921980
309,bratsk,56.1325,101.6142,0.27,87,100,4.79,RU,1699921981
310,harnai,30.1005,67.9374,13.89,31,0,1.06,PK,1699921981
311,mumford,5.2618,-0.759,26.43,86,0,2.35,GH,1699921982
312,lodwar,3.1191,35.5973,27.24,62,97,8.15,KE,1699921982
313,el porvenir,13.7617,-87.3458,25.63,91,100,2.29,HN,1699921983
314,hamilton,39.1834,-84.5333,12.76,46,0,2.06,US,1699921702
315,poronaysk,49.2167,143.1167,-3.36,72,16,3.5,RU,1699921984
316,port alfred,-33.5906,26.891,14.54,94,96,0.89,ZA,1699921779
317,nova sintra,14.8667,-24.7167,23.72,72,100,5.32,CV,1699921985
318,boa vista,2.8197,-60.6733,30.99,55,20,3.09,BR,1699921869
319,elbasan,41.1125,20.0822,8.4,72,100,1.71,AL,1699921986
320,uturoa,-16.7333,-151.4333,27.12,82,95,6.2,PF,1699921799
321,hue,16.4667,107.6,26.06,83,75,6.69,VN,1699921987
322,bel ombre,-4.6167,55.4167,27.91,78,20,2.06,SC,1699921988
323,bestobe,52.4994,73.0975,2.45,85,100,4.62,KZ,1699921988
324,kodinsk,58.6881,99.1844,0.8,98,100,4.24,RU,1699921989
325,kingston,17.997,-76.7936,28.53,80,20,7.72,JM,1699921910
326,erdenet,49.0333,104.0833,-9.28,72,100,1.31,MN,1699921990
327,avarua,-21.2078,-159.775,24.03,64,75,4.12,CK,1699921990
328,kuta,-8.7233,115.1723,28.97,79,75,2.24,ID,1699921991
329,dauphin,51.1494,-100.0502,2.08,75,20,5.66,CA,1699921991
330,klyuchi,52.2667,79.1667,3.16,92,99,4.15,RU,1699921992
331,jamestown,42.097,-79.2353,8.77,75,0,4.12,US,1699921930
332,port hedland,-20.3167,118.5667,28.03,51,0,5.66,AU,1699921993
333,tura,25.5198,90.2201,18.81,84,6,1.44,IN,1699921994
334,tyukhtet,56.5389,89.3011,-0.95,96,99,4.47,RU,1699921994
335,callao,-12.0667,-77.15,21.51,77,20,4.63,PE,1699921995
336,howrah,22.5892,88.3103,20.0,88,20,2.57,IN,1699921996
337,hanzhong,33.0728,107.0303,8.53,79,98,0.69,CN,1699921996
338,timbuktu,16.7735,-3.0074,25.68,11,0,4.67,ML,1699921997
339,hangu,39.2489,117.7892,3.02,47,12,3.05,CN,1699921997
340,enewetak,11.3474,162.3373,28.4,80,70,8.88,MH,1699921998
341,namibe,-15.1961,12.1522,23.3,62,100,2.86,AO,1699921799
342,santa ana,33.7456,-117.8678,25.73,48,75,3.09,US,1699921936
343,lucapa,-8.4192,20.7447,18.01,97,75,0.44,AO,1699922000
344,kembe,4.6228,21.8865,21.9,98,100,1.79,CF,1699922000
345,flying fish cove,-10.4217,105.6791,25.82,78,100,4.12,CX,1699921788
346,strathalbyn,-35.2667,138.9,17.59,96,100,2.9,AU,1699922001
347,lagunas,-5.2269,-75.6753,28.32,68,98,1.05,PE,1699922003
348,atbara,17.7022,33.9864,28.36,46,85,0.96,SD,1699922004
349,botshabelo,-29.2702,26.7052,11.65,54,8,2.72,ZA,1699922005
350,katsuren-haebaru,26.3369,127.8719,22.21,49,75,4.63,JP,1699922005
351,ilulissat,69.2167,-51.1,-3.99,63,75,7.2,GL,1699922006
352,ilha de mocambique,-15.0342,40.7358,25.72,84,100,3.43,MZ,1699922007
353,las lomitas,-24.7096,-60.593,20.61,83,100,3.15,AR,1699922007
354,wickenburg,33.9686,-112.7296,25.25,32,100,3.79,US,1699921835
355,kutoarjo,-7.7169,109.9128,28.52,76,68,2.35,ID,1699922008
356,maracaju,-21.6144,-55.1683,30.11,38,17,2.93,BR,1699922009
357,baiquan,47.5833,126.0833,-5.84,71,16,3.53,CN,1699922009
358,mugia,43.1041,-9.2179,18.84,96,100,12.53,ES,1699922010
359,tual,-5.6667,132.75,27.6,76,86,2.57,ID,1699922011
360,cherniakhiv,50.4565,28.6702,1.63,92,9,3.35,UA,1699922011
